player,draft_year,position,position_group,model_group,college,round,pick,draft_capital_bucket,overall_rank_in_class,position_rank_in_class,overall_class_percentile,position_class_percentile,outcome_grade_pff_powered,position_model_score,ceiling_grade,floor_grade,starter_probability,elite_probability,bust_probability,outcome_tier,hit_miss_label,draft_value_vs_grade,confidence_score,confidence_label,outlier_type,grade_explanation,historical_position_comps,historical_overall_comps,player_card_summary,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,actual_outcome_level,actual_outcome_flag,miss_flag,value_flag,outcome_card_class,is_bad_miss,is_good_miss,should_have_been_drafted,should_have_pick_bucket,draft_slot_regrade,outcome_maturity,display_grade,display_grade_label,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,career_stat_raw,career_honors_raw,career_stat_score,career_honors_score,career_impact_raw,position_success_score,global_success_score,score_mode,actual_value_to_team,current_value_to_team,prospect_similarity_score,site_display_score,site_display_score_label,good_bad_miss_type,redraft_class_rank,redraft_position_rank,should_have_been_drafted_display,v10_trait_projection_score,v10_projection_score,v10_successful_comps,v10_risk_comps,site_display_score_v10,site_display_score_label_v10,v10_projection_tier,v10_projection_explanation,projection_status,projection_badge,projection_basis,career_projection_score_5_10,career_projection_label,career_projection_range,career_projection_basis
Hanik Milligan,2003.0,DB,CB,DB,Houston,6.0,188.0,Late Day 3 pick,227.0,40.0,4.6,15.2,21.4,13.1,21.4,49.8,0.481,0.462,0.502,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Carey Scott (2001, DB, score 20.7) | Rashad Holman (2001, DB, score 21.8) | Lamont Brightful (2002, DB, score 22.4) | Antwan Harris (2000, DB, score 24.5) | Kevin Thomas (2002, DB, score 19.8)","Carey Scott (2001, DB, score 20.7) | Rashad Holman (2001, DB, score 21.8) | Lamont Brightful (2002, DB, score 22.4) | Paul Edinger (2000, K, score 21.6) | Leif Larsen (2000, DT, score 22.9)","Hanik Milligan (2003, DB, Houston) graded 21.4. Tier: Low-probability profile. Position rank in class: #40. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.3,6.0,41.9,50.8,Miss,Drafted too late,neutral,neutral,card-neutral,False,False,Early Day 3 caliber,150.0,Drafted too late,mature,57.3,Actual Value Score,0.0,1.0,0.0,6.0,,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,,15.400590406840234,22.56021977856103,30.2,62.6,87.57596553914414,57.7,56.5,actual_value,57.7,30.6,43.2,57.3,Actual Value Score,neutral,118.0,26.0,Class #118 / CB #26,48.7,48.7,,,57.3,Actual Value Score,Depth / replacement profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,57.3,Fringe roster / practice-squad projection,57.3,Actual NFL career value
Waine Bacon,2003.0,DB,CB,DB,Alabama,6.0,202.0,Late Day 3 pick,226.0,39.0,5.1,17.4,21.5,13.2,21.7,48.7,0.483,0.472,0.513,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Damen Wheeler (2000, DB, score 19.8) | Lamont Brightful (2002, DB, score 22.4) | Carey Scott (2001, DB, score 20.7) | Chad Williams (2002, DB, score 19.3) | Rashad Holman (2001, DB, score 21.8)","Damen Wheeler (2000, DB, score 19.8) | Lamont Brightful (2002, DB, score 22.4) | Leif Larsen (2000, DT, score 22.9) | Carey Scott (2001, DB, score 20.7) | Chad Williams (2002, DB, score 19.3)","Waine Bacon (2003, DB, Alabama) graded 21.5. Tier: Low-probability profile. Position rank in class: #39. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.3,1.0,14.8,50.8,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Undrafted / replacement outcome,999.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,1.0,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,,19.556229318461035,6.6332495807108,36.6,13.0,34.54436329302833,45.8,45.3,actual_value,45.8,26.9,43.2,32.0,Actual Value Score,neutral,228.0,43.0,Class #228 / CB #43,45.2,45.2,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Torrie Cox,2003.0,DB,CB,DB,Pittsburgh,6.0,205.0,Late Day 3 pick,235.0,44.0,1.3,6.5,16.5,6.4,16.5,48.2,0.474,0.46,0.518,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Chad Williams (2002, DB, score 19.3) | Damen Wheeler (2000, DB, score 19.8) | Carey Scott (2001, DB, score 20.7) | Renaldo Hill (2001, DB, score 18.0) | Lamont Brightful (2002, DB, score 22.4)","Chad Williams (2002, DB, score 19.3) | Damen Wheeler (2000, DB, score 19.8) | Tim Rattay (2000, QB, score 16.6) | Renaldo Hill (2001, DB, score 18.0) | Kevin Thomas (2002, DB, score 19.8)","Torrie Cox (2003, DB, Pittsburgh) graded 16.5. Tier: Low-probability profile. Position rank in class: #44. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.2,5.0,38.2,50.3,Miss,Drafted too late,neutral,neutral,card-neutral,False,False,Early Day 3 caliber,150.0,Drafted too late,mature,52.0,Actual Value Score,0.0,0.0,0.0,5.0,,5.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,,26.322933361145324,14.966629547095764,46.3,42.5,78.0905787486561,55.8,54.7,actual_value,55.8,27.7,42.4,52.0,Actual Value Score,neutral,146.0,31.0,Class #146 / CB #31,42.4,42.4,,,52.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,52.0,Long-shot / replacement-level projection,52.0,Actual NFL career value
Frank Walker,2003.0,DB,CB,DB,Tuskegee,6.0,207.0,Late Day 3 pick,212.0,34.0,11.0,28.3,27.0,20.8,27.6,48.9,0.487,0.481,0.511,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Wendell Davis (1996, DB, score 26.5) | Andre Weathers (1999, DB, score 27.6) | Leonard Myers (2001, DB, score 26.5) | Michael Hawthorne (2000, DB, score 28.1) | Jimmy Williams (2001, DB, score 25.5)","Wendell Davis (1996, DB, score 26.5) | Andre Weathers (1999, DB, score 27.6) | Brad Bedell (2000, T, score 28.0) | Leonard Myers (2001, DB, score 26.5) | Scott Curry (1999, T, score 28.5)","Frank Walker (2003, DB, Tuskegee) graded 27.0. Tier: Low-probability profile. Position rank in class: #34. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.4,14.0,61.5,51.2,Miss,Good value,neutral,good_miss,card-good-miss,False,False,Day 2 caliber,100.0,Good value,mature,63.8,Actual Value Score,0.0,0.0,1.0,14.0,,6.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,9.0,,47.12175168556974,24.688160865577203,76.3,67.8,122.6782198027828,64.4,62.8,actual_value,64.4,37.2,44.0,63.8,Actual Value Score,good_miss,97.0,20.0,Class #97 / CB #20,45.3,45.3,,,63.8,Actual Value Score,Depth / replacement profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,63.8,Depth / developmental projection,63.8,Actual NFL career value
Yeremiah Bell,2003.0,DB,CB,DB,Eastern Kentucky,6.0,213.0,Late Day 3 pick,216.0,35.0,9.3,26.1,25.5,18.7,25.9,49.0,0.487,0.476,0.51,Low-probability profile,Massive positive outlier,Low-impact outcome,73.0,Medium confidence,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Wendell Davis (1996, DB, score 26.5) | Jimmy Williams (2001, DB, score 25.5) | Leonard Myers (2001, DB, score 26.5) | Andre Weathers (1999, DB, score 27.6) | Izell Reese (1998, DB, score 25.3)","Wendell Davis (1996, DB, score 26.5) | Todd Husak (2000, QB, score 25.1) | Jimmy Williams (2001, DB, score 25.5) | Leon Neal (1996, RB, score 25.6) | Leonard Myers (2001, DB, score 26.5)","Yeremiah Bell (2003, DB, Eastern Kentucky) graded 25.5. Tier: Low-probability profile. Position rank in class: #35. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.4,40.0,88.4,51.1,Miss,Massive steal,neutral,good_miss,card-good-miss,False,True,Round 1 caliber,32.0,Massive steal,mature,72.7,Actual Value Score,0.0,1.0,7.0,40.0,,29.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,8.0,13.0,58.04949211695808,42.41575581988433,86.8,91.5,175.49415922797905,73.4,71.3,actual_value,73.4,43.1,43.8,72.7,Actual Value Score,good_miss,31.0,10.0,Class #31 / CB #10,45.1,45.1,,,72.7,Actual Value Score,Rotational / contributor profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,72.7,Possible starter / strong contributor,72.7,Actual NFL career value
Curry Burns,2003.0,DB,CB,DB,Louisville,7.0,217.0,Late Day 3 pick,208.0,33.0,12.4,30.4,28.9,23.7,29.5,49.5,0.483,0.469,0.505,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Corey Hall (2001, DB, score 28.2) | JoJuan Armour (1999, DB, score 29.8) | Omar Stoutmire (1997, DB, score 27.7) | Armon Williams (1997, DB, score 31.4) | Than Merrill (2001, DB, score 30.7)","Owen Pochman (2001, K, score 28.7) | Ryan Thelwell (1998, WR, score 29.2) | Artie Ulmer (1997, LB, score 28.6) | Ben Fricke (1998, C, score 28.5) | Corey Hall (2001, DB, score 28.2)","Curry Burns (2003, DB, Louisville) graded 28.9. Tier: Low-probability profile. Position rank in class: #33. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.4,1.0,14.8,51.3,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Late Day 3 / priority depth,220.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,1.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,,22.183347464017316,6.6332495807108,40.1,13.0,35.46385464397303,46.0,45.5,actual_value,46.0,31.4,44.3,32.0,Actual Value Score,neutral,214.0,38.0,Class #214 / CB #38,44.6,44.6,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Blue Adams,2003.0,DB,CB,DB,Cincinnati,7.0,220.0,Late Day 3 pick,228.0,41.0,4.2,13.0,20.6,12.0,20.9,48.2,0.48,0.476,0.518,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Herman O'Berry (1995, DB, score 20.3) | Derek Combs (2001, DB, score 20.2) | Shaunard Harts (2001, DB, score 20.0) | Scott Turner (1995, DB, score 22.0) | Tony Darden (1998, DB, score 22.3)","Herman O'Berry (1995, DB, score 20.3) | Josh Mallard (2002, DE, score 21.7) | Mike Pucillo (2002, G, score 21.2) | Derek Combs (2001, DB, score 20.2) | Stylez G. White (2002, DE, score 21.0)","Blue Adams (2003, DB, Cincinnati) graded 20.6. Tier: Low-probability profile. Position rank in class: #41. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.2,3.0,28.6,50.7,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Late Day 3 / priority depth,220.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,3.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,1.0,17.31456558595638,14.142135623730953,33.4,38.9,62.55400959610536,52.5,51.6,actual_value,52.5,30.2,43.0,32.0,Actual Value Score,neutral,220.0,40.0,Class #220 / CB #40,44.4,44.4,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Norman LeJeune,2003.0,DB,CB,DB,LSU,7.0,244.0,Late Day 3 pick,237.0,46.0,0.4,2.2,13.3,2.1,13.3,47.7,0.47,0.46,0.523,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Steve Smith (2002, DB, score 14.5) | LaVar Glover (2002, DB, score 13.3) | Robert Carswell (2001, DB, score 19.7) | Michael Reed (1995, DB, score 19.5) | Tim Wansley (2002, DB, score 18.6)","Steve Smith (2002, DB, score 14.5) | Kevin Houser (2000, C, score 11.7) | Joe Hamilton (2000, QB, score 16.2) | LaVar Glover (2002, DB, score 13.3) | Scott Covington (1999, QB, score 18.5)","Norman LeJeune (2003, DB, LSU) graded 13.3. Tier: Low-probability profile. Position rank in class: #46. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.0,0.0,5.1,49.8,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Undrafted / replacement outcome,999.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,0.0,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,4.394449154672439,5.291502622129181,12.2,9.1,8.15243548179683,37.0,37.0,actual_value,37.0,21.0,36.0,32.0,Actual Value Score,neutral,237.0,46.0,Class #237 / CB #46,41.0,41.0,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Chris Johnson,2003.0,DB,CB,DB,Louisville,7.0,245.0,Late Day 3 pick,224.0,37.0,5.9,21.7,22.5,14.6,22.9,48.3,0.484,0.477,0.517,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Eric Smedley (1996, DB, score 22.8) | Brad Franklin (2002, DB, score 22.4) | Rodregis Brooks (2000, DB, score 21.2) | Chris Young (2002, DB, score 22.4) | Carlos Yancy (1995, DB, score 21.2)","John Burrough (1995, DE, score 22.4) | Chris White (1999, DE, score 23.0) | Eric Smedley (1996, DB, score 22.8) | Chris Greisen (1999, QB, score 22.6) | Leland Taylor (1997, DT, score 22.6)","Chris Johnson (2003, DB, Louisville) graded 22.5. Tier: Low-probability profile. Position rank in class: #37. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.3,15.0,63.0,50.9,Miss,Drafted too late,neutral,neutral,card-neutral,False,False,Early Day 3 caliber,150.0,Drafted too late,mature,63.4,Actual Value Score,0.0,0.0,1.0,15.0,,,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,8.0,,46.20538734607874,21.549928774784245,75.1,60.2,120.24178076232174,63.9,62.4,actual_value,63.9,33.5,37.4,63.4,Actual Value Score,neutral,101.0,21.0,Class #101 / CB #21,43.0,43.0,,,63.4,Actual Value Score,Depth / replacement profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,63.4,Depth / developmental projection,63.4,Actual NFL career value
Siddeeq Shabazz,2003.0,DB,CB,DB,New Mexico St.,7.0,246.0,Late Day 3 pick,217.0,36.0,8.9,23.9,25.3,18.5,25.9,48.4,0.486,0.481,0.516,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Mark Montreuil (1995, DB, score 24.6) | Erik Olson (2000, DB, score 24.6) | Eric Smedley (1996, DB, score 22.8) | Filmel Johnson (1994, DB, score 24.4) | Brad Franklin (2002, DB, score 22.4)","Lewis Kelly (2000, T, score 25.8) | Jeff Smith (1996, C, score 25.5) | Leonard Henry (2002, RB, score 25.7) | Sean Morey (1999, WR, score 24.9) | Andre King (2001, WR, score 24.2)","Siddeeq Shabazz (2003, DB, New Mexico St.) graded 25.3. Tier: Low-probability profile. Position rank in class: #36. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.4,2.0,22.7,51.1,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Late Day 3 / priority depth,220.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,2.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,,11.77775591666576,10.583005244258365,22.9,27.3,48.112115208863045,49.2,48.5,actual_value,49.2,28.2,37.8,32.0,Actual Value Score,neutral,218.0,39.0,Class #218 / CB #39,43.0,43.0,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Willie Pile,2003.0,DB,CB,DB,Virginia Tech,7.0,252.0,Late Day 3 pick,230.0,42.0,3.2,10.9,19.9,11.1,19.9,49.0,0.482,0.46,0.51,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,"Michael Green (2000, DB, score 19.8) | Michael Reed (1995, DB, score 19.5) | Robert Carswell (2001, DB, score 19.7) | Marlon McCree (2001, DB, score 19.4) | Eric Smedley (1996, DB, score 22.8)","Michael Green (2000, DB, score 19.8) | Rodney Williams (1999, P, score 20.3) | Eugene McCaslin (2000, LB, score 19.8) | Michael Reed (1995, DB, score 19.5) | Robert Carswell (2001, DB, score 19.7)","Willie Pile (2003, DB, Virginia Tech) graded 19.9. Tier: Low-probability profile. Position rank in class: #42. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.2,3.0,28.6,50.6,Miss,Drafted about right,neutral,neutral,card-neutral,False,False,Undrafted / replacement outcome,999.0,Drafted about right,mature,32.0,Actual Value Score,0.0,0.0,0.0,3.0,,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,,15.727302530897305,11.31370849898476,31.2,29.8,58.46293362090194,51.6,50.7,actual_value,51.6,28.7,37.0,32.0,Actual Value Score,neutral,222.0,41.0,Class #222 / CB #41,43.2,43.2,,,32.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,32.0,Long-shot / replacement-level projection,32.0,Actual NFL career value
Sean Taylor,2004.0,DB,CB,DB,Miami (FL),1.0,5.0,Top-5 pick,2.0,1.0,99.6,100.0,84.1,99.7,88.0,55.6,0.54,0.53,0.444,Starter-caliber profile,Starter-level hit,Solid premium pick,70.0,Medium confidence,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,"Charles Woodson (1998, DB, score 83.5) | Bryant Westbrook (1997, DB, score 83.1) | Shawn Springs (1997, DB, score 83.1) | Eric Turner (1991, DB, score 83.1) | Patrick Bates (1993, DB, score 83.6)","Eric Swann (1991, DT, score 84.2) | Junior Seau (1990, LB, score 83.7) | Carl Banks (1984, LB, score 84.0) | Heath Shuler (1994, QB, score 84.0) | Duane Bickett (1985, LB, score 83.6)","Sean Taylor (2004, DB, Miami (FL)) graded 84.1. Tier: Starter-caliber profile. Position rank in class: #1. Draft capital: Top-5 pick. Draft value read: Solid premium pick. Model confidence: Medium confidence. Why: premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile.",10.3,32.0,82.0,56.3,Starter Hit,Drafted about right,neutral,neutral,card-neutral,False,False,Round 2 caliber,64.0,Drafted about right,mature,70.8,Actual Value Score,0.0,2.0,4.0,32.0,,32.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,12.0,2.0,55.99401456215879,38.832396974191326,84.9,89.7,164.04061303555616,71.5,69.5,actual_value,71.5,82.1,92.5,70.8,Actual Value Score,neutral,39.0,5.0,Class #39 / CB #5,74.3,74.3,,,70.8,Actual Value Score,Rotational / contributor profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,70.8,Rotational contributor / developmental starter,70.8,Actual NFL career value
DeAngelo Hall,2004.0,DB,CB,DB,Virginia Tech,1.0,8.0,Top-15 pick,7.0,2.0,97.1,97.8,83.3,99.0,87.5,53.6,0.533,0.529,0.464,Starter-caliber profile,Starter-level hit,Solid premium pick,58.0,Low-medium confidence,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,"Bryant Westbrook (1997, DB, score 83.1) | Chris McAlister (1999, DB, score 82.9) | Michael Booker (1997, DB, score 83.0) | Charles Woodson (1998, DB, score 83.5) | Patrick Bates (1993, DB, score 83.6)","David Boston (1999, WR, score 83.1) | Bruce Matthews (1983, G, score 83.4) | John Henderson (2002, DT, score 83.4) | David Terrell (2001, WR, score 83.6) | Jamal Reynolds (2001, DE, score 83.3)","DeAngelo Hall (2004, DB, Virginia Tech) graded 83.3. Tier: Starter-caliber profile. Position rank in class: #2. Draft capital: Top-15 pick. Draft value read: Solid premium pick. Model confidence: Low-medium confidence. Why: premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile.",10.0,61.0,96.2,55.8,Starter Hit,Drafted about right,neutral,neutral,card-neutral,False,False,Top-15 caliber,15.0,Drafted about right,mature,79.7,Actual Value Score,0.0,3.0,10.0,61.0,,28.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,638.0,43.0,2.0,87.68499166097433,62.80250430191756,99.0,95.5,221.67150140991637,80.6,78.1,actual_value,80.6,84.0,89.0,79.7,Actual Value Score,neutral,11.0,1.0,Class #11 / CB #1,70.9,70.9,,,79.7,Actual Value Score,Starter-caliber profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,79.7,Starter traits / volatile projection,79.7,Actual NFL career value
Dunta Robinson,2004.0,DB,CB,DB,South Carolina,1.0,10.0,Top-15 pick,39.0,6.0,82.8,88.9,78.5,92.5,82.3,53.5,0.527,0.517,0.465,Starter-caliber profile,Starter-level hit,Solid premium pick,58.0,Low-medium confidence,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,"Aaron Glenn (1994, DB, score 78.5) | Terry McDaniel (1988, DB, score 78.2) | Rickey Dixon (1988, DB, score 78.8) | Donnell Woolford (1989, DB, score 77.4) | Phillip Buchanon (2002, DB, score 79.0)","Keith Byars (1986, RB, score 78.3) | Aaron Glenn (1994, DB, score 78.5) | Jimmy Kennedy (2003, DT, score 78.5) | Shawn Knight (1987, DE, score 78.7) | Eric Moore (1988, G, score 78.9)","Dunta Robinson (2004, DB, South Carolina) graded 78.5. Tier: Starter-caliber profile. Position rank in class: #6. Draft capital: Top-15 pick. Draft value read: Solid premium pick. Model confidence: Low-medium confidence. Why: premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile.",9.7,41.0,88.9,55.1,Starter Hit,Drafted about right,neutral,neutral,card-neutral,False,False,Round 2 caliber,64.0,Drafted about right,mature,71.8,Actual Value Score,0.0,0.0,8.0,41.0,,23.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,17.0,5.5,66.69660010748382,34.89336074408795,93.5,86.9,170.2010467172905,72.5,70.5,actual_value,72.5,81.3,88.3,71.8,Actual Value Score,neutral,36.0,4.0,Class #36 / CB #4,72.0,72.0,,,71.8,Actual Value Score,Rotational / contributor profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,71.8,Rotational contributor / developmental starter,71.8,Actual NFL career value
Ahmad Carroll,2004.0,DB,CB,DB,Arkansas,1.0,25.0,Round 1 pick,31.0,5.0,86.8,91.1,80.2,94.8,84.2,53.1,0.527,0.523,0.469,Starter-caliber profile,Starter-level hit,Strong value,58.0,Low-medium confidence,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile,"Devin Bush Sr. (1995, DB, score 80.7) | Darryl Williams (1992, DB, score 80.0) | Nate Clements (2001, DB, score 79.9) | George Teague (1993, DB, score 80.6) | Vinnie Clark (1991, DB, score 80.1)","Dave Rimington (1983, C, score 80.5) | Kwame Harris (2003, T, score 80.6) | Alvin Toles (1985, LB, score 80.7) | Devin Bush Sr. (1995, DB, score 80.7) | Darryl Williams (1992, DB, score 80.0)","Ahmad Carroll (2004, DB, Arkansas) graded 80.2. Tier: Starter-caliber profile. Position rank in class: #5. Draft capital: Round 1 pick. Draft value read: Strong value. Model confidence: Low-medium confidence. Why: top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile.",9.8,14.0,61.5,55.3,Starter Hit,Drafted too early,neutral,neutral,card-neutral,False,False,Early Day 3 caliber,150.0,Drafted too early,mature,52.0,Actual Value Score,0.0,0.0,2.0,14.0,,13.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,117.0,3.0,3.0,38.13529738112031,20.75652312003388,63.9,58.0,114.41130683310978,62.9,61.4,actual_value,62.9,74.7,83.4,52.0,Actual Value Score,neutral,105.0,21.0,Class #105 / CB #21,63.7,63.7,,,52.0,Actual Value Score,Low-probability profile,,Final / Mature Outcome,Actual Career Value,Actual NFL career value,52.0,Long-shot / replacement-level projection,52.0,Actual NFL career value
