player,draft_year,position,position_group,model_group,college,round,pick,draft_capital_bucket,overall_rank_in_class,position_rank_in_class,overall_class_percentile,position_class_percentile,outcome_grade_pff_powered,position_model_score,ceiling_grade,floor_grade,starter_probability,elite_probability,bust_probability,outcome_tier,hit_miss_label,draft_value_vs_grade,confidence_score,confidence_label,outlier_type,grade_explanation,historical_position_comps,historical_overall_comps,player_card_summary,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,actual_outcome_level,actual_outcome_flag,miss_flag,value_flag,outcome_card_class,is_bad_miss,is_good_miss,should_have_been_drafted,should_have_pick_bucket,draft_slot_regrade,outcome_maturity,display_grade,display_grade_label,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,career_stat_raw,career_honors_raw,career_stat_score,career_honors_score,career_impact_raw,position_success_score,global_success_score,score_mode,actual_value_to_team,current_value_to_team,prospect_similarity_score,site_display_score,site_display_score_label,good_bad_miss_type,redraft_class_rank,redraft_position_rank,should_have_been_drafted_display
Rick Woods,1982,DB,CB,DB,Boise St.,4.0,97.0,Day 2 pick,26,10,65.8,74.3,52.2,56.2,53.5,53.5,0.469,0.456,0.465,Depth / replacement-level profile,Replacement/depth outcome,Day 2 miss,73.0,Medium confidence,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,,,"Rick Woods (1982, DB, Boise St.) graded 52.2. Tier: Depth / replacement-level profile. Position rank in class: #10. Draft capital: Day 2 pick. Draft value read: Day 2 miss. Model confidence: Medium confidence. Why: Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included.",10.4,18.0,67.2,54.9,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 1 caliber,32,Drafted too late,mature,63.4,Actual Value Score,0.0,0.0,1.0,18.0,,16.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,1.0,34.449961479175904,20.852299546352718,58.4,58.2,120.06715236731279,63.9,62.4,actual_value,63.9,55.1,63.1,63.4,Actual Value Score,neutral,22,9,Class #22 / CB #9
Brian Carpenter,1982,DB,CB,DB,Michigan,4.0,101.0,Early Day 3 pick,30,11,59.6,71.4,48.4,50.7,49.7,53.4,0.478,0.465,0.466,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Brian Carpenter (1982, DB, Michigan) graded 48.4. Tier: Depth / replacement-level profile. Position rank in class: #11. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",10.8,5.0,38.2,54.2,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,42.0,Actual Value Score,0.0,0.0,1.0,5.0,,,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,,18.0,15.832159566199232,34.9,44.7,75.75946459613456,55.3,54.3,actual_value,55.3,48.0,54.0,42.0,Actual Value Score,neutral,43,18,Class #43 / CB #18
George Floyd,1982,DB,CB,DB,Eastern Kentucky,4.0,107.0,Early Day 3 pick,49,20,34.2,45.7,42.0,42.5,43.1,53.1,0.455,0.447,0.469,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"George Floyd (1982, DB, Eastern Kentucky) graded 42.0. Tier: Depth / replacement-level profile. Position rank in class: #20. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",10.2,2.0,22.7,52.2,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,32.0,Actual Value Score,0.0,0.0,0.0,2.0,,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.745966692414834,4.6,16.9,40.44360244822562,47.3,46.7,actual_value,47.3,40.5,53.0,32.0,Actual Value Score,neutral,57,26,Class #57 / CB #26
Monty Hunter,1982,DB,CB,DB,Salem,4.0,109.0,Early Day 3 pick,46,19,38.4,48.6,42.5,43.8,43.3,52.7,0.425,0.42,0.473,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Monty Hunter (1982, DB, Salem) graded 42.5. Tier: Depth / replacement-level profile. Position rank in class: #19. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",9.6,1.0,14.8,52.5,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,32.0,Actual Value Score,0.0,0.0,0.0,1.0,,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0,7.483314773547883,9.4,16.0,29.46226452261332,44.4,44.0,actual_value,44.4,40.8,53.1,32.0,Actual Value Score,neutral,61,28,Class #61 / CB #28
Fred Marion,1982,DB,CB,DB,Miami (FL),5.0,112.0,Early Day 3 pick,54,21,26.7,41.4,32.2,30.1,32.8,48.0,0.409,0.411,0.52,Low-probability profile,Massive positive outlier,Low-impact outcome,73.0,Medium confidence,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Fred Marion (1982, DB, Miami (FL)) graded 32.2. Tier: Low-probability profile. Position rank in class: #21. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",8.8,50.0,93.1,50.2,Miss,Major value,neutral,good_miss,card-good-miss,False,True,Round 1 caliber,32,Major value,mature,73.4,Actual Value Score,0.0,1.0,8.0,50.0,,50.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0,1.0,50.46648326421053,43.31370849898476,80.0,92.1,179.98230892011267,74.1,72.0,actual_value,74.1,50.8,51.6,73.4,Actual Value Score,good_miss,5,2,Class #5 / CB #2
Vance Bedford,1982,DB,CB,DB,Texas,5.0,119.0,Early Day 3 pick,54,21,26.7,41.4,32.2,30.1,32.6,47.5,0.412,0.402,0.525,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Vance Bedford (1982, DB, Texas) graded 32.2. Tier: Low-probability profile. Position rank in class: #21. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",9.0,0.0,5.1,50.6,Miss,Drafted too late,neutral,neutral,card-neutral,False,False,Day 2 caliber,100,Drafted too late,mature,32.0,Actual Value Score,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,4.6,0.1,0.0,35.0,35.0,actual_value,35.0,34.6,51.6,32.0,Actual Value Score,neutral,67,31,Class #67 / CB #31
Von Mansfield,1982,DB,CB,DB,Wisconsin,5.0,122.0,Early Day 3 pick,34,12,54.8,68.6,47.7,50.7,49.2,48.1,0.449,0.446,0.519,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Von Mansfield (1982, DB, Wisconsin) graded 47.7. Tier: Depth / replacement-level profile. Position rank in class: #12. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",9.9,2.0,22.7,53.9,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,32.0,Actual Value Score,0.0,0.0,0.0,2.0,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,9.0,6.324555320336759,17.7,11.9,41.816838233128024,47.7,47.0,actual_value,47.7,43.9,53.9,32.0,Actual Value Score,neutral,53,24,Class #53 / CB #24
William Graham,1982,DB,CB,DB,Texas,5.0,127.0,Early Day 3 pick,38,15,48.6,60.0,45.4,47.9,46.7,48.0,0.435,0.432,0.52,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"William Graham (1982, DB, Texas) graded 45.4. Tier: Depth / replacement-level profile. Position rank in class: #15. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",9.6,21.0,71.4,53.0,Depth / Replacement,Massive steal,neutral,good_miss,card-good-miss,False,False,Round 1 caliber,32,Massive steal,mature,63.9,Actual Value Score,0.0,0.0,3.0,21.0,,21.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,24.045407685048602,23.54145095611166,42.6,65.0,123.52586967515498,64.5,62.9,actual_value,64.5,53.0,53.6,63.9,Actual Value Score,good_miss,18,8,Class #18 / CB #8
Dennis DeVaughn,1982,DB,CB,DB,Bishop,5.0,132.0,Early Day 3 pick,44,18,41.1,51.4,43.8,45.2,45.2,47.9,0.456,0.452,0.521,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Dennis DeVaughn (1982, DB, Bishop) graded 43.8. Tier: Depth / replacement-level profile. Position rank in class: #18. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",10.1,1.0,14.8,52.8,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,32.0,Actual Value Score,0.0,0.0,0.0,1.0,,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.211102550927978,4.6,15.2,28.42199924433844,44.1,43.7,actual_value,44.1,41.5,53.3,32.0,Actual Value Score,neutral,60,27,Class #60 / CB #27
Ricky Smith,1982,DB,CB,DB,Alabama St.,6.0,141.0,Early Day 3 pick,40,16,46.6,57.1,45.3,47.9,46.3,44.2,0.449,0.416,0.558,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk,,,"Ricky Smith (1982, DB, Alabama St.) graded 45.3. Tier: Depth / replacement-level profile. Position rank in class: #16. Draft capital: Early Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk.",9.4,8.0,48.0,53.0,Depth / Replacement,Drafted too late,neutral,neutral,card-neutral,False,False,Round 2 caliber,64,Drafted too late,mature,52.0,Actual Value Score,0.0,0.0,0.0,8.0,,6.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,12.727922061357857,14.0,25.2,38.5,83.4770608868894,56.9,55.8,actual_value,56.9,46.2,53.5,52.0,Actual Value Score,neutral,34,13,Class #34 / CB #13
Durwood Roquemore,1982,DB,CB,DB,Texas A&M-Kingsville,6.0,157.0,Late Day 3 pick,35,13,53.4,65.7,47.6,50.7,48.9,45.6,0.458,0.437,0.544,Depth / replacement-level profile,Replacement/depth outcome,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,,,"Durwood Roquemore (1982, DB, Texas A&M-Kingsville) graded 47.6. Tier: Depth / replacement-level profile. Position rank in class: #13. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included.",9.6,5.0,38.2,53.6,Depth / Replacement,Major value,neutral,good_miss,card-good-miss,False,False,Round 2 caliber,64,Major value,mature,42.0,Actual Value Score,0.0,0.0,0.0,5.0,,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,20.12461179749811,10.770329614269007,37.7,27.8,70.67579128534615,54.3,53.3,actual_value,54.3,46.4,47.1,42.0,Actual Value Score,good_miss,44,19,Class #44 / CB #19
Tom Tutson,1982,DB,CB,DB,South Carolina St.,6.0,161.0,Late Day 3 pick,57,24,23.3,34.3,27.6,24.7,28.0,43.0,0.403,0.378,0.57,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk,,,"Tom Tutson (1982, DB, South Carolina St.) graded 27.6. Tier: Low-probability profile. Position rank in class: #24. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk.",8.3,0.0,5.1,48.3,Miss,Good value,neutral,good_miss,card-good-miss,False,False,Day 2 caliber,100,Good value,mature,32.0,Actual Value Score,0.0,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.324555320336759,4.6,11.9,7.905694150420949,36.9,36.9,actual_value,36.9,30.6,44.1,32.0,Actual Value Score,good_miss,68,32,Class #68 / CB #32
Mike Whitwell,1982,DB,CB,DB,Texas A&M,6.0,162.0,Late Day 3 pick,60,26,18.5,27.1,25.2,21.9,25.2,41.5,0.391,0.343,0.585,Low-probability profile,Miss,Low-impact outcome,73.0,Medium confidence,near_expected,lower draft-capital profile; private PFF-derived signals included; meaningful downside risk,,,"Mike Whitwell (1982, DB, Texas A&M) graded 25.2. Tier: Low-probability profile. Position rank in class: #26. Draft capital: Late Day 3 pick. Draft value read: Low-impact outcome. Model confidence: Medium confidence. Why: lower draft-capital profile; private PFF-derived signals included; meaningful downside risk.",8.1,8.0,48.0,47.8,Miss,Major value,neutral,good_miss,card-good-miss,False,False,Round 2 caliber,64,Major value,mature,42.0,Actual Value Score,0.0,0.0,1.0,8.0,,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,17.588457268119896,14.0,34.2,38.5,84.67824820925611,57.2,56.0,actual_value,57.2,32.9,43.7,42.0,Actual Value Score,good_miss,45,20,Class #45 / CB #20
